in,negative_flag,positive_flag
0,0,0
31309,0,0
21660,0,1
10358,0,1
20863,0,0
19110,0,1
31369,0,1
28819,0,0
30928,0,1
2277,0,0
4399,0,1
3888,0,0
7947,0,1
14158,0,1
23765,0,1
13515,0,1
4407,0,1
25257,0,1
18276,0,0
8385,0,0
15512,0,1
1104,0,1
20076,0,1
4422,0,0
25751,0,1
16874,0,1
19170,0,1
3610,0,1
23497,0,0
25856,0,1
4595,0,1
16314,0,0
24265,0,0
31250,0,1
23364,0,1
20746,0,1
22857,0,1
12633,0,0
7984,0,0
564,0,0
19386,0,0
23474,0,1
16256,0,0
2329,0,0
2671,0,1
11074,0,1
3003,0,0
19375,0,1
993,0,1
30662,0,0
25365,0,0
20847,0,0
25095,0,0
29492,0,0
22823,0,1
3874,0,1
29586,0,1
18728,0,1
10050,0,1
24620,0,1
32476,0,1
23434,0,0
13717,0,0
9345,0,1
1093,0,0
26670,0,1
9139,0,1
25034,0,0
12810,0,1
24325,0,1
14213,0,1
7125,0,1
12870,0,0
21741,0,0
15673,0,1
24149,0,1
15207,0,0
27648,0,0
27073,0,0
11905,0,1
21934,0,0
28911,0,0
13157,0,1
4697,0,1
9163,0,1
29091,0,0
15009,0,0
23973,0,1
15796,0,0
14203,0,1
9697,0,0
17746,0,0
8465,0,0
30998,0,1
18683,0,0
32701,0,0
23463,0,1
22725,0,1
20471,0,0
5418,0,0
30766,0,0
21029,0,0
3191,0,1
13237,0,0
17613,0,1
6496,0,0
24210,0,0
10871,0,0
27032,0,1
5082,0,0
12428,0,0
7679,0,1
19525,0,0
3768,0,1
1846,0,0
14856,0,1
29168,0,1
31892,0,1
16591,0,0
25286,0,0
26335,0,1
13063,0,1
32186,0,1
22406,0,0
25067,0,0
14637,0,1
6660,0,1
22506,0,0
29303,0,1
12606,0,1
30128,0,1
24529,0,0
29849,0,1
32264,0,0
17717,0,0
536,0,0
29670,0,0
10391,0,1
11655,0,0
568,0,1
30794,0,0
10025,0,0
7871,0,1
30204,0,0
20305,0,0
28760,0,1
25595,0,1
11658,0,1
23985,0,0
4038,0,0
25674,0,1
21783,0,1
15583,0,0
18943,0,0
9105,0,0
12978,0,0
25634,0,0
5213,0,0
10093,0,1
23470,0,1
24929,0,0
28021,0,0
20168,0,1
5074,0,0
7022,0,0
25043,0,1
18314,0,1
2655,0,1
4227,0,0
4870,0,1
32721,0,0
24458,0,0
14378,0,1
15046,0,1
30873,0,1
13045,0,0
21088,0,0
13958,0,1
18831,0,1
6074,0,1
27341,0,1
26072,0,0
20373,0,0
11794,0,0
7216,0,1
13142,0,0
15865,0,0
23721,0,0
14990,0,0
1210,0,1
27927,0,0
6458,0,0
11135,0,0
32046,0,0
2341,0,0
21820,0,1
2323,0,0
12809,0,1
823,0,1
6814,0,1
7113,0,1
17907,0,1
23458,0,0
2330,0,0
22623,0,1
24400,0,0
3408,0,1
18457,0,1
3552,0,1
28428,0,1
24572,0,0
28058,0,0
21315,0,0
17694,0,0
7158,0,0
3166,0,0
8943,0,1
32447,0,1
14542,0,0
8534,0,1
3464,0,1
30254,0,1
22156,0,0
6436,0,0
19443,0,0
15432,0,1
20397,0,1
28910,0,1
12403,0,0
9714,0,0
17393,0,0
3449,0,1
1558,0,0
7773,0,1
12876,0,0
13297,0,1
12378,0,0
4945,0,0
21526,0,1
28652,0,0
12036,0,1
18030,0,0
27348,0,0
8418,0,1
18110,0,1
2925,0,0
25724,0,1
8689,0,0
26279,0,1
27448,0,1
14778,0,1
25213,0,1
29874,0,1
8598,0,1
19738,0,1
5027,0,1
31810,0,1
16060,0,0
32094,0,0
21172,0,0
420,0,0
24191,0,0
15285,0,0
3234,0,0
12154,0,0
26683,0,1
18391,0,1
24060,0,0
19313,0,1
21862,0,1
13897,0,0
1281,0,0
9851,0,1
29647,0,0
15307,0,1
12761,0,1
12422,0,0
21574,0,1
21680,0,0
2363,0,1
24513,0,0
11661,0,1
4487,0,1
10058,0,0
20147,0,0
7592,0,1
24333,0,1
30746,0,0
24961,0,1
22473,0,1
2088,0,1
18856,0,1
4246,0,1
15745,0,1
23449,0,0
29225,0,0
16796,0,1
1625,0,0
6494,0,1
1678,0,0
19631,0,0
26239,0,0
20910,0,1
10904,0,1
959,0,0
29624,0,0
8766,0,0
1225,0,1
1695,0,1
12179,0,0
29775,0,0
1696,0,0
8676,0,1
14846,0,0
23601,0,0
12063,0,1
7540,0,1
30373,0,0
19081,0,0
23405,0,0
12537,0,0
19274,0,1
27275,0,0
14492,0,0
32393,0,1
13441,0,0
21541,0,0
8596,0,0
10245,0,0
26987,0,1
22749,0,1
20949,0,0
776,0,1
16417,0,1
29988,0,1
8337,0,0
28169,0,1
20719,0,1
27373,0,0
9035,0,0
13625,0,0
30351,0,1
27865,0,0
31727,0,0
11012,0,0
23842,0,0
7869,0,0
24417,0,0
15403,0,1
12545,0,0
20777,0,1
28443,0,1
29289,0,0
22331,0,0
15329,0,1
2076,0,1
18660,0,1
23879,0,1
2799,0,1
14331,0,0
22499,0,0
6976,0,0
2970,0,0
3898,0,0
20500,0,1
11633,0,1
20674,0,0
7059,0,0
4347,0,0
30765,0,0
1430,0,1
12719,0,0
6180,0,1
7909,0,0
16328,0,1
25514,0,0
27029,0,0
20220,0,1
3944,0,0
7187,0,1
26040,0,0
21493,0,0
29145,0,1
2890,0,1
4462,0,0
6287,0,0
69,0,1
26843,0,1
22447,0,0
29906,0,1
15810,0,0
3647,0,0
19870,0,1
29648,0,0
23983,0,1
13616,0,0
10122,0,1
22942,0,0
22780,0,0
19975,0,1
20165,0,1
26385,0,1
194,0,1
8024,0,0
19295,0,0
11327,0,0
23370,0,1
15599,0,0
12303,0,1
13387,0,0
4556,0,0
19364,0,0
22364,0,1
18767,0,1
1270,0,1
17492,0,1
23411,0,1
25618,0,0
5826,0,1
10754,0,0
922,0,1
30279,0,0
7659,0,1
27635,0,1
29151,0,1
27652,0,0
18395,0,1
9615,0,1
10407,0,0
5195,0,0
6678,0,1
26090,0,1
1211,0,0
3152,0,0
18713,0,1
7903,0,0
21014,0,0
10886,0,1
1505,0,1
20418,0,0
12269,0,0
6238,0,1
18458,0,0
30839,0,0
6081,0,0
8910,0,0
20782,0,0
13864,0,0
357,0,1
24643,0,1
9740,0,0
25476,0,0
6384,0,0
22429,0,0
10040,0,0
19853,0,0
1550,0,1
22481,0,1
28085,0,1
2838,0,0
13938,0,0
11670,0,1
32405,0,0
9278,0,0
14733,0,0
1546,0,1
12931,0,0
25083,0,0
18372,0,1
27262,0,0
12478,0,1
22117,0,0
589,0,1
32470,0,0
26691,0,0
17935,0,1
8709,0,0
26073,0,1
29577,0,0
28603,0,1
788,0,0
26604,0,1
7640,0,0
27624,0,1
8304,0,0
16984,0,0
28972,0,1
9971,0,1
27902,0,1
4364,0,0
29283,0,0
18226,0,0
8310,0,1
19672,0,0
7353,0,1
23391,0,1
13439,0,0
21125,0,0
10328,0,0
28429,0,1
